                Time                  x1                  y1                  x2                  y2
               24.79        0.9790502693       -0.2036186884         1.598284087       -0.9888253355
                24.8        0.9658332414       -0.2591643299         1.614405503        -1.020317416
               24.81        0.9483941921        -0.317093766         1.628397584        -1.050302731
               24.82        0.9261045421       -0.3772669839         1.639433194        -1.078096659
               24.83        0.8983637259       -0.4392523374          1.64640778        -1.102901411
               24.84        0.8647763927       -0.5021571373         1.647983153        -1.123918483
               24.85         0.825404394       -0.5645419261         1.642823091        -1.140585912
               24.86         0.780932753       -0.6246151097         1.630026852        -1.152856732
               24.87        0.7325344434       -0.6807299679         1.609497589        -1.161287604
               24.88        0.6814794017       -0.7318372941         1.581918493        -1.166819413
               24.89        0.6288005694        -0.777566617         1.548391987         -1.17044271
                24.9        0.5751936948       -0.8180172452         1.510071782        -1.172986204
               24.91        0.5210758608       -0.8535103674         1.467966981        -1.175064728
               24.92        0.4666816179       -0.8844253883         1.422890893        -1.177109215
               24.93        0.4121406968       -0.9111202149         1.375477474        -1.179415303
               24.94        0.3575288965       -0.9339020763         1.326216405        -1.182185203
               24.95        0.3028988134       -0.9530227221         1.275486777        -1.185557995
               24.96        0.2482979497       -0.9686837091         1.223583888        -1.189630169
               24.97        0.1937794143       -0.9810451257         1.170739058        -1.194469246
               24.98        0.1394083205       -0.9902349823         1.117133802         -1.20012277
               24.99       0.08526559863       -0.9963582577         1.062909821        -1.206624218
                  25       0.03145013302       -0.9995053222         1.008175978         -1.21399687
               25.01      -0.02192032776       -0.9997597207        0.9530131558        -1.222256243
               25.02      -0.07470928665       -0.9972053562        0.8974776672        -1.231411519
               25.03       -0.1267625676       -0.9919330882        0.8416037005        -1.241466194
               25.04       -0.1779103174       -0.9840467057        0.7854051934         -1.25241814
               25.05       -0.2279699215       -0.9736681749        0.7288774341         -1.26425919
               25.06       -0.2767497821        -0.960942016         0.671998632        -1.276974367
               25.07       -0.3240538532       -0.9460386357        0.6147316483        -1.290540859
               25.08       -0.3696867608       -0.9291564448        0.5570260237        -1.304926873
               25.09       -0.4134592673        -0.910522616        0.4988203853         -1.32009048
                25.1       -0.4551937818       -0.8903923972         0.440045255        -1.335978603
               25.11        -0.494729579       -0.8690469744        0.3806262178         -1.35252627
               25.12       -0.5319273777       -0.8467899769        0.3204873507        -1.369656242
               25.13       -0.5666729541       -0.8239428155        0.2595547631        -1.387279091
               25.14       -0.5988795169       -0.8008391375        0.1977600654        -1.405293748
               25.15       -0.6284886543       -0.7778187523        0.1350435739        -1.423588476
               25.16       -0.6554697598       -0.7552214205       0.07135707384        -1.442042179
               25.17       -0.6798179484       -0.7333809085      0.006666000837        -1.460525865
               25.18       -0.7015505684       -0.7126196742      -0.05904903801        -1.478904075
               25.19       -0.7207024848        -0.693244494       -0.1257914107        -1.497036018
                25.2       -0.7373203559       -0.6755432576       -0.1935482016        -1.514776148
               25.21       -0.7514561264       -0.6597830629       -0.2622903959        -1.531973918
               25.22       -0.7631599335       -0.6462096532       -0.3319732769        -1.548472402
               25.23       -0.7724725543         -0.63504815       -0.4025367243        -1.564105458
               25.24       -0.7794174353       -0.6265049573       -0.4739050096        -1.578693047
               25.25       -0.7839922333       -0.6207706324       -0.5459855406        -1.592034147
               25.26       -0.7861596934       -0.6180234109       -0.6186657891        -1.603896522
               25.27        -0.785837627       -0.6184328775        -0.691807244        -1.614002206
               25.28       -0.7828878381        -0.622162867       -0.7652345472        -1.622007035
               25.29       -0.7771043291       -0.6293717993       -0.8387167881        -1.627471947
                25.3       -0.7682026462       -0.6402067591       -0.9119359757        -1.629823215
               25.31       -0.7558162799       -0.6547837438       -0.9844349053        -1.628299806
               25.32       -0.7395157269       -0.6731392796        -1.055534329        -1.621892273
               25.33       -0.7188852553       -0.6951287577         -1.12421461        -1.609299483
               25.34       -0.6937165265       -0.7202481384        -1.188992556        -1.588983803
               25.35       -0.6643535182       -0.7474184924        -1.247925762        -1.559479719
               25.36        -0.632025154       -0.7749478723        -1.298985427        -1.520041151
               25.37       -0.5987259805       -0.8009539314        -1.340813624        -1.471256795
               25.38       -0.5665048252       -0.8240584221        -1.373265811        -1.414936338
               25.39       -0.5367913445       -0.8437150304        -1.397205528        -1.353310393
                25.4       -0.5102741213       -0.8600118145        -1.413900374        -1.288333651
               25.41       -0.4871319573       -0.8733283782        -1.424578568        -1.221457452
               25.42        -0.467283013       -0.8841077908        -1.430261003        -1.153687819
               25.43       -0.4505399275        -0.892756279        -1.431747476        -1.085711576
               25.44       -0.4366868696       -0.8996135715        -1.429654063        -1.018003405
               25.45       -0.4255127895       -0.9049524109        -1.424456649       -0.9508998268
               25.46       -0.4168235413       -0.9089874232        -1.416527269       -0.8846469931
